batch_size,color,learning_rate,model,momentum,optimizers,regularizator,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
16.0,grayscale,9001.0,vgg1,9001.0,SGD,9001.0,0.7110000252723694,0.6139297485351562,0.7185516357421875,0.5450671315193176,0.7163757681846619,0.5874048471450806
16.0,grayscale,9001.0,vgg1,9001.0,Adadelta,9001.0,0.6129999756813049,0.6923480033874512,0.6346892714500427,0.63641756772995,0.620636522769928,0.6857749819755554
16.0,grayscale,9001.0,vgg1,9001.0,Adagrad,9001.0,0.6370000243186951,0.7371717095375061,0.6732375621795654,0.6015568971633911,0.6606776118278503,0.6676284670829773
16.0,grayscale,9001.0,vgg1,9001.0,Adam,9001.0,0.7049999833106995,0.7432739734649658,0.7540928721427917,0.49800246953964233,0.7307494878768921,0.6881465315818787
16.0,grayscale,9001.0,vgg1,9001.0,Adamax,9001.0,0.796999990940094,0.48309051990509033,0.7577681541442871,0.4976162910461426,0.7910677790641785,0.4837862253189087
16.0,grayscale,9001.0,vgg1,9001.0,Nadam,9001.0,0.781000018119812,0.47942978143692017,0.7641162872314453,0.48330697417259216,0.7974845767021179,0.46193715929985046
16.0,grayscale,9001.0,vgg1,9001.0,RMSprop,9001.0,0.7260000109672546,0.8487918972969055,0.7407701015472412,0.5182003378868103,0.7415297627449036,0.8042514324188232
16.0,grayscale,9001.0,vgg2,9001.0,SGD,9001.0,0.8240000009536743,0.4343702793121338,0.8270130157470703,0.37806621193885803,0.8357289433479309,0.3953573703765869
16.0,grayscale,9001.0,vgg2,9001.0,Adadelta,9001.0,0.6259999871253967,0.6469849348068237,0.6460073590278625,0.6284204721450806,0.650924026966095,0.6277201771736145
16.0,grayscale,9001.0,vgg2,9001.0,Adagrad,9001.0,0.7440000176429749,0.5301327109336853,0.7210574746131897,0.5431540012359619,0.7512833476066589,0.5036693811416626
16.0,grayscale,9001.0,vgg2,9001.0,Adam,9001.0,0.8730000257492065,0.3165739178657532,0.8502338528633118,0.33059394359588623,0.9147843718528748,0.22923564910888672
16.0,grayscale,9001.0,vgg2,9001.0,Adamax,9001.0,0.824999988079071,0.5421632528305054,0.8598814010620117,0.31513333320617676,0.850359320640564,0.3996928036212921
16.0,grayscale,9001.0,vgg2,9001.0,Nadam,9001.0,0.8410000205039978,0.45180633664131165,0.8594637513160706,0.3182983696460724,0.8839835524559021,0.3198409974575043
16.0,grayscale,9001.0,vgg2,9001.0,RMSprop,9001.0,0.8980000019073486,0.28594714403152466,0.8539508581161499,0.3276512920856476,0.9296714663505554,0.18423344194889069
16.0,grayscale,9001.0,vgg3,9001.0,SGD,9001.0,0.8429999947547913,0.3497522473335266,0.859964907169342,0.31991511583328247,0.8724332451820374,0.2832847833633423
16.0,grayscale,9001.0,vgg3,9001.0,Adadelta,9001.0,0.6679999828338623,0.6112884283065796,0.6480955481529236,0.6221047043800354,0.6855749487876892,0.5924858450889587
16.0,grayscale,9001.0,vgg3,9001.0,Adagrad,9001.0,0.734000027179718,0.5468719005584717,0.7173822522163391,0.550829291343689,0.7369096279144287,0.5109879970550537
16.0,grayscale,9001.0,vgg3,9001.0,Adam,9001.0,0.8809999823570251,0.3923243284225464,0.9275810122489929,0.17592152953147888,0.9599589109420776,0.10456689447164536
16.0,grayscale,9001.0,vgg3,9001.0,Adamax,9001.0,0.8849999904632568,0.44235721230506897,0.9235299229621887,0.1824118047952652,0.9496920108795166,0.12147926539182663
16.0,grayscale,9001.0,vgg3,9001.0,Nadam,9001.0,0.8759999871253967,0.4169333577156067,0.9216923117637634,0.18478798866271973,0.9653490781784058,0.11379287391901016
16.0,grayscale,9001.0,vgg3,9001.0,RMSprop,9001.0,0.8849999904632568,0.40137386322021484,0.9145506024360657,0.2077520787715912,0.9627823233604431,0.10329554229974747
16.0,grayscale,9001.0,lenet5,9001.0,SGD,9001.0,0.7369999885559082,0.504081666469574,0.6951219439506531,0.5759207606315613,0.7317761778831482,0.5154634118080139
16.0,grayscale,9001.0,lenet5,9001.0,Adadelta,9001.0,0.5770000219345093,0.7112383246421814,0.6012362241744995,0.6637777090072632,0.599075973033905,0.6957836747169495
16.0,grayscale,9001.0,lenet5,9001.0,Adagrad,9001.0,0.5929999947547913,0.6962290406227112,0.6280069947242737,0.6376544833183289,0.5921458005905151,0.6926554441452026
16.0,grayscale,9001.0,lenet5,9001.0,Adam,9001.0,0.6970000267028809,0.6281774044036865,0.7260273694992065,0.5324946045875549,0.7186858057975769,0.624832272529602
16.0,grayscale,9001.0,lenet5,9001.0,Adamax,9001.0,0.7519999742507935,0.5275692343711853,0.7329602241516113,0.5290445685386658,0.762320339679718,0.5011765956878662
16.0,grayscale,9001.0,lenet5,9001.0,Nadam,9001.0,0.6970000267028809,0.5999767780303955,0.7255679965019226,0.5362363457679749,0.7299794554710388,0.5440923571586609
16.0,grayscale,9001.0,lenet5,9001.0,RMSprop,9001.0,0.7559999823570251,0.5177986025810242,0.7226027250289917,0.5419192910194397,0.7713038921356201,0.4959990084171295
16.0,grayscale,9001.0,custom,9001.0,SGD,9001.0,0.8029999732971191,0.4281942844390869,0.7418559789657593,0.5182003974914551,0.8375256657600403,0.3491375148296356
16.0,grayscale,9001.0,custom,9001.0,Adadelta,9001.0,0.5740000009536743,0.6927409768104553,0.5727530717849731,0.7226094007492065,0.5536447763442993,0.6980761885643005
16.0,grayscale,9001.0,custom,9001.0,Adagrad,9001.0,0.6639999747276306,0.6115460991859436,0.642332136631012,0.6327602863311768,0.6527207493782043,0.6137445569038391
16.0,grayscale,9001.0,custom,9001.0,Adam,9001.0,0.7960000038146973,0.442321240901947,0.7789007425308228,0.4612697660923004,0.8362423181533813,0.35930365324020386
16.0,grayscale,9001.0,custom,9001.0,Adamax,9001.0,0.7900000214576721,0.4318239390850067,0.7840377688407898,0.45415225625038147,0.8200718760490417,0.3914696276187897
16.0,grayscale,9001.0,custom,9001.0,Nadam,9001.0,0.8410000205039978,0.382217675447464,0.7808637022972107,0.4566594958305359,0.8439425230026245,0.33687424659729004
16.0,grayscale,9001.0,custom,9001.0,RMSprop,9001.0,0.8149999976158142,0.45806431770324707,0.7761861085891724,0.4707438051700592,0.8403490781784058,0.3694649934768677
